Index,X_length,Y_length,U1,U2,Z_length
1,-10000000.0,-10000000.0,0.0,0.0,2.0853295
2,-7761109.3,-10000000.0,0.0,0.0,2.1459727
3,-6222352.8,-10000000.0,0.0,0.0,2.2381956
4,-5164788.2,-10000000.0,0.0,0.0,2.2765014
5,-4437939.7,-10000000.0,0.0,0.0,2.3119241
6,-3938387.5,-10000000.0,0.0,0.0,2.3311959
7,-3595052.6,-10000000.0,0.0,0.0,2.3452654
8,-3359083.6,-10000000.0,0.0,0.0,2.3538326
9,-3196905.6,-10000000.0,0.0,0.0,2.359766
10,-3085443.1,-10000000.0,0.0,0.0,2.3636006
11,-3008836.5,-10000000.0,0.0,0.0,2.3662334
12,-2956185.9,-10000000.0,0.0,0.0,2.3679793
13,-2920000.0,-10000000.0,0.0,0.0,2.3692115
14,-2840000.0,-10000000.0,0.0,0.0,2.3717771
15,-2760000.0,-10000000.0,0.0,0.0,2.3743314
16,-2680000.0,-10000000.0,0.0,0.0,2.3768023
17,-2600000.0,-10000000.0,0.0,0.0,2.3792245
18,-2520000.0,-10000000.0,0.0,0.0,2.3815786
19,-2440000.0,-10000000.0,0.0,0.0,2.3838753
20,-2360000.0,-10000000.0,0.0,0.0,2.3861057
21,-2280000.0,-10000000.0,0.0,0.0,2.3882752
22,-2200000.0,-10000000.0,0.0,0.0,2.3903775
23,-2120000.0,-10000000.0,0.0,0.0,2.3924165
24,-2040000.0,-10000000.0,0.0,0.0,2.3943868
25,-1960000.0,-10000000.0,0.0,0.0,2.3962915
26,-1880000.0,-10000000.0,0.0,0.0,2.3981261
27,-1800000.0,-10000000.0,0.0,0.0,2.3998928
28,-1720000.0,-10000000.0,0.0,0.0,2.401588
29,-1640000.0,-10000000.0,0.0,0.0,2.4032133
30,-1560000.0,-10000000.0,0.0,0.0,2.4047656
31,-1480000.0,-10000000.0,0.0,0.0,2.4062462
32,-1400000.0,-10000000.0,0.0,0.0,2.4076525
33,-1320000.0,-10000000.0,0.0,0.0,2.4089854
34,-1240000.0,-10000000.0,0.0,0.0,2.4102428
35,-1160000.0,-10000000.0,0.0,0.0,2.4114253
36,-1080000.0,-10000000.0,0.0,0.0,2.4125312
37,-1000000.0,-10000000.0,0.0,0.0,2.413561
38,-920000.0,-10000000.0,0.0,0.0,2.4145131
39,-840000.0,-10000000.0,0.0,0.0,2.415388
40,-760000.0,-10000000.0,0.0,0.0,2.4161844
41,-680000.0,-10000000.0,0.0,0.0,2.4169026
42,-600000.0,-10000000.0,0.0,0.0,2.4175417
43,-520000.0,-10000000.0,0.0,0.0,2.4181018
44,-440000.0,-10000000.0,0.0,0.0,2.4185823
